,Instructor,Course,Term,Enroll,Evals,Rcmnd_Class,Rcmnd_Instructor,Study_Hrs_Per_Wk,Grade_Expected,Grade,Link
801,"Hirsch, Jorge Eduardo",PHYS 2D  - Phys-Relativity&Quantm Physics A,FA09,64,33,72.7,69.7,6.38,2.78,2.7,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=662924
802,"Groisman, Alexander",PHYS 4C  - Phys Majrs-Elect & Magnetism   A,FA09,30,20,100.0,94.7,4.9,3.2,3.22,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=662926
803,"Coil, Alison",PHYS 5 - The Universe                   A,FA09,68,40,90.0,95.0,4.1,3.46,2.98,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=662928
804,"Fuller, George Michael",PHYS 87 - Freshman Seminar               A,FA09,19,15,100.0,100.0,0.5,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=666418
805,"Wong, David Y.",PHYS 12 - Energy and the Environment     A,SU09,11,3,100.0,100.0,4.5,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=657082
806,"Tucker, Laura Jane",PHYS 1A  - Mechanics                      A,SU09,65,28,82.1,82.1,7.07,3.33,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=657084
807,"Wong, David Y.",PHYS 1A  - Mechanics                      A,SU09,60,21,85.0,100.0,6.6,3.52,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=656461
808,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           A,SU09,23,9,88.9,100.0,3.83,3.67,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=656504
809,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           A,SU09,23,8,85.7,85.7,3.36,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=657085
810,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           B,SU09,16,6,100.0,100.0,4.83,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=660550
