,Instructor,Course,Term,Enroll,Evals,Rcmnd_Class,Rcmnd_Instructor,Study_Hrs_Per_Wk,Grade_Expected,Grade,Link
905,"Sharma, Vivek A.",PHYS 2A  - Physics-Mechanics              A,FA08,164,82,80.2,87.8,6.35,3.26,2.73,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630610
906,"Sharma, Vivek A.",PHYS 2A  - Physics-Mechanics              B,FA08,158,88,79.3,91.8,5.85,3.28,2.73,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630612
907,"Grinstein, Benjamin",PHYS 2B  - Phys-Electricity and Magnetism A,FA08,222,110,70.0,67.3,7.5,3.01,2.03,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630614
908,"Yagil, Avi",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,FA08,159,42,73.8,90.5,4.93,3.5,2.88,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630616
909,"Fogler, Michael M.","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",FA08,191,63,82.5,79.0,5.21,3.48,2.81,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630625
910,"Wuerthwein, Frank","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics B",FA08,243,85,91.5,89.0,5.44,3.51,3.18,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630627
911,"Goodkind, John M.","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",FA08,219,146,55.4,36.7,4.5,3.24,3.0,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630629
912,"Hirsch, Jorge Eduardo",PHYS 2D  - Phys-Relativity&Quantm Physics A,FA08,60,27,55.6,74.1,6.2,2.96,2.58,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630643
913,"Groisman, Alexander",PHYS 4C  - Phys Majrs-Elect & Magnetism   A,FA08,28,12,91.7,66.7,4.67,3.33,3.01,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630645
914,"Shu, Frank H.",PHYS 5 - The Universe                   A,FA08,35,23,65.2,69.6,2.33,3.2,2.82,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630647
915,"Griest, Kim",PHYS 9 - The Solar System               A,FA08,166,114,91.0,98.2,3.24,3.4,2.9,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=630649
916,"Robertson, Rae Marie",PHYS 1A  - Mechanics                      A,SU08,76,59,93.1,93.0,7.21,3.65,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626475
917,"Wong, David Y.",PHYS 1A  - Mechanics                      A,SU08,62,36,82.9,85.7,5.99,3.35,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626738
918,"Dinh, Vincent",PHYS 1B  - Electricity and Magnetism      A,SU08,51,42,68.4,52.5,3.9,3.86,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626743
919,"Wylie, Christopher Scott",PHYS 1B  - Electricity and Magnetism      A,SU08,57,45,86.4,100.0,6.37,3.36,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626480
920,"Alvarez-Cabanillas, Miguel","PHYS 1C  - Waves, Optics & Modern Physics A",SU08,56,18,94.4,72.2,7.17,3.5,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626484
921,"Sten, Lin","PHYS 1C  - Waves, Optics & Modern Physics A",SU08,37,36,57.1,41.2,7.59,3.31,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626747
922,"Kelley, Randall Scott",PHYS 2A  - Physics-Mechanics              A,SU08,49,36,91.7,100.0,11.61,3.03,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626488
923,"Lever, Edward Lawrence",PHYS 2B  - Phys-Electricity and Magnetism A,SU08,71,17,100.0,100.0,7.79,3.38,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626490
924,"Lever, Edward Lawrence",PHYS 2B  - Phys-Electricity and Magnetism A,SU08,80,42,81.0,97.6,6.4,3.6,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626751
925,"Riley, Pete",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,SU08,36,26,73.1,96.2,5.12,3.52,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626492
926,"Hicks, J. Charles","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",SU08,45,18,77.8,77.8,7.94,3.29,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626496
927,"Hicks, J. Charles","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",SU08,41,25,80.0,84.0,7.54,2.92,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626753
928,"Zhang, Lingfeng Matthew",PHYS 2D  - Phys-Relativity&Quantm Physics A,SU08,93,61,55.9,62.1,7.8,3.04,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626761
929,"Kishimoto, Chad T.",PHYS 7 - Introductory Astronomy         A,SU08,10,10,80.0,70.0,3.5,3.25,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=626763
930,"Murphy, Thomas",PHYS 10 - Concepts In Physics            A,SP08,153,66,90.8,93.8,3.15,3.43,3.13,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623554
931,"Sinha, Sunil K",PHYS 100C  - Electromagnetism               A,SP08,31,16,46.7,62.5,7.13,2.93,3.16,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623560
932,"Griest, Kim",PHYS 12 - Energy and the Environment     A,SP08,106,61,71.7,91.7,3.16,3.45,3.01,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623556
933,"Driscoll, Charles F.",PHYS 120A  - Physical Measurements          A,SP08,50,36,97.1,97.1,8.85,3.61,3.44,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623562
934,"Intriligator, Kenneth Arthur",PHYS 130A  - Quantum Physics                A,SP08,47,32,87.1,96.8,9.5,3.03,3.04,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623565
935,"Paar, Hans Peter",PHYS 154 - Elementary Particle Physics    A,SP08,18,12,100.0,100.0,4.83,3.73,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623571
936,"Keating, Brian",PHYS 162 - Galaxies and Cosmology         A,SP08,23,18,88.9,94.4,5.17,3.33,3.46,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623573
937,"Paar, Hans Peter",PHYS 192 - Senior Seminar in Physics      A,SP08,15,14,100.0,100.0,1.36,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623576
938,"Padoan, Paolo",PHYS 1A  - Mechanics                      A,SP08,201,38,77.8,78.4,4.82,3.51,3.22,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623452
939,"Anderson, Michael G.",PHYS 1B  - Electricity and Magnetism      A,SP08,301,168,83.2,91.4,4.7,3.4,2.95,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623460
940,"Smith, Douglas E","PHYS 1C  - Waves, Optics & Modern Physics A",SP08,394,266,69.9,71.7,3.46,3.55,2.89,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623471
941,"Smith, Douglas E","PHYS 1C  - Waves, Optics & Modern Physics B",SP08,387,197,78.3,80.9,3.39,3.55,2.89,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623472
942,"Dudko, Olga",PHYS 2A  - Physics-Mechanics              A,SP08,214,96,88.0,84.9,5.07,3.24,3.07,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623506
943,"Schuller, Ivan K",PHYS 2B  - Phys-Electricity and Magnetism A,SP08,118,61,83.3,86.7,6.37,3.34,2.97,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623508
944,"Schuller, Ivan K",PHYS 2B  - Phys-Electricity and Magnetism B,SP08,205,35,88.6,97.1,6.33,3.29,2.97,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623510
945,"Bassov, Dmitri N.",PHYS 2B  - Phys-Electricity and Magnetism C,SP08,167,58,72.4,62.1,4.81,3.02,2.27,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623512
946,"Yagil, Avi",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,SP08,241,51,65.2,82.6,5.36,3.66,2.69,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623514
947,"Wuerthwein, Frank","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",SP08,196,73,81.9,91.7,5.0,3.3,2.79,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623527
948,"Shpyrko, Oleg","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",SP08,219,33,69.7,96.9,4.68,3.57,3.49,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623529
949,"Hirsch, Jorge Eduardo",PHYS 2D  - Phys-Relativity&Quantm Physics A,SP08,89,51,44.0,36.0,7.38,2.96,2.32,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623542
950,"Butov, Leonid",PHYS 2DL - Physics Lab-Modern Physics     A,SP08,42,14,78.6,85.7,4.21,3.67,3.33,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623544
951,"Surko, Clifford M","PHYS 4B  - Phys Majrs-Mech,Fluid,Wav,Heat A",SP08,35,12,75.0,91.7,4.67,3.33,2.72,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623548
952,"Jenkins, Elizabeth",PHYS 4E  - Physics Majors-Quantum Physics A,SP08,21,14,100.0,92.9,5.5,3.64,3.24,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623550
953,"Tytler, David Robert",PHYS 5 - The Universe                   A,SP08,61,29,55.2,64.3,3.33,3.1,3.19,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623552
954,"Wuerthwein, Frank",PHYS 100B  - Electromagnetism               A,WI08,43,26,96.2,96.2,6.19,3.36,2.98,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612648
955,"Padoan, Paolo",PHYS 105B  - Mathematical&Computational Phy A,WI08,11,5,100.0,100.0,12.1,3.4,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612650
956,"Arovas, Daniel P",PHYS 110B  - Mechanics                      A,WI08,36,23,86.4,95.5,6.67,3.11,2.94,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612652
957,"Salmon, Richard L.",PHYS 111 - Intro to Ocean Waves & Tides   A,WI08,12,11,90.9,100.0,5.41,3.3,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612654
958,"Murphy, Thomas",PHYS 121 - Experimental Techniques        A,WI08,26,11,100.0,100.0,9.23,4.0,3.48,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612655
959,"Branson, James G",PHYS 130C  - Quantum Physics                A,WI08,23,8,100.0,87.5,7.75,3.86,3.7,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612657
960,"Pathria, Raj K.",PHYS 140B  - Statistical & Thermal Physics  A,WI08,25,15,100.0,100.0,7.83,3.08,2.84,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612659
961,"Griest, Kim",PHYS 161 - Black Holes & Milky Way Galaxy A,WI08,25,15,100.0,100.0,4.5,3.33,3.29,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612665
962,"Anderson, Michael G.",PHYS 1A  - Mechanics                      A,WI08,179,108,86.8,86.7,5.04,3.29,2.88,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612552
963,"Anderson, Michael G.",PHYS 1A  - Mechanics                      B,WI08,74,33,96.9,97.0,4.63,3.2,2.88,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=623687
964,"Levine, Herbert",PHYS 1B  - Electricity and Magnetism      A,WI08,265,51,67.3,83.7,4.7,3.55,3.02,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612565
965,"Levine, Herbert",PHYS 1B  - Electricity and Magnetism      B,WI08,278,135,74.0,79.2,3.83,3.46,3.02,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612566
966,"Bassov, Dmitri N.",PHYS 1B  - Electricity and Magnetism      C,WI08,256,75,72.9,68.1,4.12,3.48,3.14,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612567
967,"Okamura, Melvin Y.","PHYS 1C  - Waves, Optics & Modern Physics A",WI08,171,76,68.4,52.6,3.87,3.56,2.77,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612600
968,"Sharma, Vivek A.",PHYS 2A  - Physics-Mechanics              A,WI08,123,50,76.0,80.0,5.64,3.17,2.73,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612608
969,"Sharma, Vivek A.",PHYS 2A  - Physics-Mechanics              B,WI08,197,81,82.1,91.0,6.09,3.29,2.73,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612610
970,"Sharma, Vivek A.",PHYS 2A  - Physics-Mechanics              C,WI08,229,103,94.2,95.1,5.22,3.28,2.73,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612612
971,"Grinstein, Benjamin",PHYS 2B  - Phys-Electricity and Magnetism A,WI08,150,110,70.5,84.6,6.63,3.11,2.02,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612614
972,"Grinstein, Benjamin",PHYS 2B  - Phys-Electricity and Magnetism B,WI08,161,90,66.7,75.9,6.92,3.11,2.02,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612616
973,"Fogler, Michael M.","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",WI08,242,29,89.3,85.7,5.88,3.52,2.92,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612627
974,"Shpyrko, Oleg","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",WI08,226,51,72.5,92.2,5.68,3.48,3.42,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612629
975,"Sinha, Sunil K",PHYS 2D  - Phys-Relativity&Quantm Physics A,WI08,114,52,57.7,76.9,5.92,3.32,3.24,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612638
976,"Surko, Clifford M",PHYS 4A  - Physics/Physics Majrs-Mechancs A,WI08,39,20,95.0,95.0,4.2,3.26,2.86,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612640
977,"Hirsch, Jorge Eduardo","PHYS 4D  - Phys Majrs-EM Wav,Opt,Spec Rel A",WI08,23,15,100.0,80.0,5.5,3.33,3.22,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612642
978,"Norman, Michael L",PHYS 7 - Introductory Astronomy         A,WI08,154,41,95.0,92.5,3.23,3.62,3.43,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612644
979,"Tytler, David Robert",PHYS 8 - Physics of Everyday Life       A,WI08,91,48,57.4,51.1,2.24,3.37,3.01,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=612646
980,"Surko, Clifford M",PHYS 100A  - Electromagnetism               A,FA07,53,35,88.2,85.3,7.41,3.0,2.59,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601031
981,"Padoan, Paolo",PHYS 105A  - Mathematical&Computational Phy A,FA07,53,24,75.0,95.8,9.25,3.18,3.2,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601032
982,"Branson, James G",PHYS 11 - Survey of Physics              A,FA07,205,146,51.7,56.9,2.03,3.38,3.22,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601026
983,"Arovas, Daniel P",PHYS 110A  - Mechanics                      A,FA07,54,43,93.0,95.3,7.45,3.23,2.96,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601035
984,"Driscoll, Charles F.",PHYS 120B  - Physical Measurements          A,FA07,27,9,100.0,100.0,10.5,3.75,3.64,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601036
985,"Sham, Lu Jeu",PHYS 130B  - Quantum Physics                A,FA07,53,28,92.6,64.0,9.21,3.13,2.8,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601039
986,"Intriligator, Kenneth Arthur",PHYS 140A  - Statistical & Thermal Physics  A,FA07,56,39,88.9,97.3,7.13,3.26,3.06,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601041
987,"Wolfe, Arthur Michael",PHYS 160 - Stellar Astrophysics           A,FA07,19,14,92.9,78.6,4.21,3.85,3.22,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601043
988,"Onuchic, Jose N",PHYS 1A  - Mechanics                      A,FA07,270,81,79.2,89.7,5.05,3.19,2.93,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=600933
989,"Onuchic, Jose N",PHYS 1A  - Mechanics                      B,FA07,301,152,84.6,91.3,4.59,3.38,2.93,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=600934
990,"Onuchic, Jose N",PHYS 1A  - Mechanics                      C,FA07,288,159,84.9,89.7,4.25,3.39,2.93,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=600935
991,"Keating, Brian",PHYS 1B  - Electricity and Magnetism      A,FA07,179,80,79.5,69.2,4.15,3.58,3.34,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=600966
992,"Okamura, Melvin Y.","PHYS 1C  - Waves, Optics & Modern Physics A",FA07,231,108,68.0,34.3,4.06,3.47,2.96,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=600975
993,"Hicks, J. Charles",PHYS 2A  - Physics-Mechanics              A,FA07,132,51,66.7,45.1,7.3,2.94,2.42,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=600985
994,"Anderson, Michael G.",PHYS 2A  - Physics-Mechanics              B,FA07,178,95,87.0,93.5,5.74,3.26,2.93,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=600987
995,"Chalmers, Joseph S.",PHYS 2B  - Phys-Electricity and Magnetism A,FA07,235,110,66.7,51.9,4.67,3.05,2.8,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=600989
996,"Yagil, Avi",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,FA07,165,69,71.6,77.3,3.74,3.51,3.25,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=600991
997,"Groisman, Alexander","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",FA07,230,114,81.1,72.2,5.15,3.17,2.95,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601000
998,"Groisman, Alexander","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics B",FA07,206,71,76.8,62.3,5.03,3.24,2.95,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601002
999,"Goodkind, John M.","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",FA07,230,85,48.8,32.5,3.46,3.34,2.89,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601004
1000,"Pathria, Raj K.",PHYS 2D  - Phys-Relativity&Quantm Physics A,FA07,90,60,75.0,67.8,5.53,3.25,2.83,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601018
1001,"Hirsch, Jorge Eduardo",PHYS 4C  - Phys Majrs-Elect & Magnetism   A,FA07,34,21,75.0,66.7,6.2,3.05,2.35,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601020
1002,"Shu, Frank H.",PHYS 5 - The Universe                   A,FA07,50,29,75.9,89.7,3.05,3.3,3.13,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601022
1003,"Norman, Michael L",PHYS 9 - The Solar System               A,FA07,167,44,76.7,92.9,3.77,3.32,2.84,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=601024
1004,"Wong, David Y.",PHYS 1A  - Mechanics                      A,SU07,70,41,75.0,87.5,6.01,3.38,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595035
1005,"Orin, Adam Edward",PHYS 1AL - Mechanics Laboratory           A,SU07,23,21,65.0,78.9,4.8,3.6,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595036
1006,"Orin, Adam Edward",PHYS 1AL - Mechanics Laboratory           B,SU07,23,22,76.2,83.3,4.8,3.82,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595761
1007,"Orin, Adam Edward",PHYS 1AL - Mechanics Laboratory           C,SU07,18,19,75.0,85.7,3.76,3.46,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=606014
1008,"Orin, Adam Edward",PHYS 1AL - Mechanics Laboratory           C,SU07,14,16,86.7,83.3,4.5,3.69,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=606015
1009,"Orin, Adam Edward",PHYS 1AL - Mechanics Laboratory           D,SU07,5,4,75.0,75.0,5.0,3.75,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=606918
1010,"Schoenes, Joachim",PHYS 1B  - Electricity and Magnetism      A,SU07,41,33,86.2,96.6,5.9,3.52,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595319
1011,"Wright, Jason D.",PHYS 1B  - Electricity and Magnetism      A,SU07,36,28,85.2,100.0,6.0,3.56,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595037
1012,"Orin, Adam Edward",PHYS 1BL - Electricity & Magnetism Lab    A,SU07,19,19,75.0,86.7,3.83,3.53,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595038
1013,"Orin, Adam Edward",PHYS 1BL - Electricity & Magnetism Lab    A,SU07,21,19,75.0,85.7,3.83,3.53,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595320
1014,"Orin, Adam Edward",PHYS 1BL - Electricity & Magnetism Lab    B,SU07,20,16,92.3,91.7,4.5,3.87,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595800
1015,"Alvarez-Cabanillas, Miguel","PHYS 1C  - Waves, Optics & Modern Physics A",SU07,61,28,76.9,64.0,7.69,3.79,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595321
1016,"Alvarez-Cabanillas, Miguel","PHYS 1C  - Waves, Optics & Modern Physics A",SU07,36,15,64.3,78.6,5.36,3.53,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595039
1017,"Lever, Edward Lawrence",PHYS 2A  - Physics-Mechanics              A,SU07,58,28,89.3,100.0,6.0,3.71,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595041
1018,"Chalmers, Joseph S.",PHYS 2B  - Phys-Electricity and Magnetism A,SU07,60,35,77.1,88.6,9.59,3.36,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595043
1019,"Lever, Edward Lawrence",PHYS 2B  - Phys-Electricity and Magnetism A,SU07,74,34,94.1,100.0,5.74,3.67,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595323
1020,"Bodde, Sara Gail",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,SU07,54,24,47.6,61.9,5.8,3.35,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595045
1021,"Hicks, J. Charles","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",SU07,44,22,86.4,90.9,6.5,3.05,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595047
1022,"Hicks, J. Charles","PHYS 2C  - Physics-Flu,Wav,Thrmdyn,Optics A",SU07,50,23,100.0,100.0,7.72,3.3,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595325
1023,"Bodde, Sara Gail","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",SU07,66,43,48.8,58.5,8.55,3.08,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595327
1024,"Sudano, Matthew C.",PHYS 2D  - Phys-Relativity&Quantm Physics A,SU07,94,56,60.0,87.3,7.91,3.19,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=595330
